run_id,config_name,total_ram_mb,cpu_cores,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,num_layers,hidden_units,gamma,strength,time_horizon,summary_freq,keep_checkpoints,max_steps,cpu_avg_unity,cpu_peak_unity,ram_avg_unity,ram_peak_unity,cpu_avg_python,cpu_peak_python,ram_avg_python,ram_peak_python,duration_sec
run_1766750206,sample_16336.yaml,11700.625,6,708,12296,0.0003,0.01,0.3,0.99,2,3,325,0.999,0.5,60,3533,5,50000,25.6819277108434,71.9,156.39782567771084,160.94140625,278.15662650602405,301.4,543.8539156626506,564.87890625,41.10131549835205
run_1766750272,sample_16337.yaml,11700.625,6,932,11808,0.0003,0.01,0.3,0.99,9,2,397,0.999,0.5,45,1864,5,50000,16.79918699186993,47.9,155.73224720528455,158.765625,263.80975609756115,303.2,550.3087842987804,568.9140625,61.1414213180542
run_1766750326,sample_16338.yaml,11700.625,6,115,5107,0.0003,0.01,0.3,0.99,3,2,215,0.999,0.5,34,4795,5,50000,20.87755102040818,43.9,157.05460778061226,166.68359375,287.25,302.4,498.73569036989795,516.79296875,48.626341104507446
run_1766750369,sample_16339.yaml,11700.625,6,657,5204,0.0003,0.01,0.3,0.99,2,1,466,0.999,0.5,65,603,5,50000,26.36623376623379,43.9,154.06239853896105,161.37890625,282.1103896103895,301.4,513.7729809253246,526.70703125,38.09446334838867
run_1766750414,sample_16340.yaml,11700.625,6,218,2111,0.0003,0.01,0.3,0.99,2,2,85,0.999,0.5,103,1591,5,50000,27.32409638554219,49.9,154.58852597891567,164.1796875,285.80602409638544,303.4,490.5321442018072,507.87890625,41.10712146759033
run_1766750489,sample_16341.yaml,11700.625,6,522,8225,0.0003,0.01,0.3,0.99,8,3,326,0.999,0.5,85,3801,5,50000,16.185611510791386,47.9,156.26747976618705,159.328125,270.6316546762593,301.6,534.4108026079136,547.16015625,69.16560101509094
run_1766750548,sample_16342.yaml,11700.625,6,411,11639,0.0003,0.01,0.3,0.99,6,1,153,0.999,0.5,21,4146,5,50000,20.162962962962986,87.8,158.61599392361111,161.01171875,259.1824074074074,301.5,516.2877242476852,529.0,53.627684354782104
run_1766750610,sample_16343.yaml,11700.625,6,382,2149,0.0003,0.01,0.3,0.99,4,3,442,0.999,0.5,69,979,5,50000,19.070689655172437,73.8,157.41264816810346,161.01953125,291.4844827586208,301.6,519.660122575431,528.73828125,57.639782190322876
run_1766750661,sample_16344.yaml,11700.625,6,390,7884,0.0003,0.01,0.3,0.99,4,2,235,0.999,0.5,109,4553,5,50000,23.547826086956544,45.9,156.76163383152175,159.10546875,274.65869565217406,302.6,520.3058338994565,534.81640625,45.61082124710083
run_1766750720,sample_16345.yaml,11700.625,6,791,6368,0.0003,0.01,0.3,0.99,7,2,274,0.999,0.5,98,2046,5,50000,20.014814814814834,43.9,155.4711009837963,165.18359375,268.2851851851852,301.4,526.0842375578703,537.72265625,53.633522272109985
run_1766750783,sample_16346.yaml,11700.625,6,548,1325,0.0003,0.01,0.3,0.99,8,2,160,0.999,0.5,35,4539,5,50000,19.083898305084762,59.9,160.785983845339,163.0625,291.7491525423729,302.7,495.0435977224576,502.1015625,58.64690637588501
run_1766750872,sample_16347.yaml,11700.625,6,942,14995,0.0003,0.01,0.3,0.99,10,4,342,0.999,0.5,125,1227,5,50000,12.986390532544391,63.9,158.7828679733728,166.75390625,261.08579881656823,302.6,584.804618158284,609.1484375,84.214834690094
run_1766750944,sample_16348.yaml,11700.625,6,387,11104,0.0003,0.01,0.3,0.99,9,3,263,0.999,0.5,110,1465,5,50000,16.669629629629643,69.9,158.23553240740742,161.421875,266.34444444444455,301.4,537.0222511574074,550.078125,67.16392779350281
run_1766750983,sample_16349.yaml,11700.625,6,511,10839,0.0003,0.01,0.3,0.99,1,1,182,0.999,0.5,39,4807,5,50000,29.50441176470591,51.9,153.74368106617646,165.671875,279.59705882352927,302.3,503.6940487132353,524.30078125,33.5807421207428
run_1766751073,sample_16350.yaml,11700.625,6,304,11834,0.0003,0.01,0.3,0.99,7,4,448,0.999,0.5,123,2332,5,50000,12.491279069767453,41.9,160.86196402616278,163.37109375,273.94883720930267,303.4,563.6659474927326,576.46484375,85.7098777294159
run_1766751134,sample_16351.yaml,11700.625,6,937,9822,0.0003,0.01,0.3,0.99,6,3,301,0.999,0.5,26,2692,5,50000,19.15535714285716,69.9,160.84929547991072,162.94140625,271.87678571428575,301.5,547.366943359375,563.41796875,55.63842749595642
run_1766751208,sample_16352.yaml,11700.625,6,820,11149,0.0003,0.01,0.3,0.99,8,3,399,0.999,0.5,109,2087,5,50000,16.012230215827355,47.9,158.18356564748203,163.9609375,268.87194244604336,301.5,562.476478192446,585.41015625,69.17914247512817
run_1766751252,sample_16353.yaml,11700.625,6,849,15582,0.0003,0.01,0.3,0.99,2,4,65,0.999,0.5,122,711,5,50000,28.00126582278483,63.9,160.1598595727848,163.07421875,272.8481012658227,301.4,536.0675929588608,559.7734375,39.09605932235718
run_1766751340,sample_16354.yaml,11700.625,6,331,4000,0.0003,0.01,0.3,0.99,9,3,330,0.999,0.5,25,3138,5,50000,14.258083832335348,87.9,158.45623596556885,161.36328125,290.7592814371262,302.3,512.6967627245509,520.7734375,83.22676992416382
run_1766751389,sample_16355.yaml,11700.625,6,699,7647,0.0003,0.01,0.3,0.99,4,2,82,0.999,0.5,122,4494,5,50000,24.896629213483173,45.9,154.7482882724719,164.16796875,273.62808988764044,303.3,512.3073648174158,531.8203125,44.11304950714111
