runNr,nrSteps,timeUnit,meanReward
30,660000,11,4.36184549331665
31,60000,1,-0.01345130987465382
31,120000,2,0.006356148049235344
31,180000,3,0.8606046438217163
31,240000,4,1.791898846626282
31,300000,5,2.47816801071167
31,360000,6,3.419676542282104
31,420000,7,4.196730613708496
31,480000,8,4.427822589874268
32,60000,1,1.452458143234253
32,120000,2,2.123167991638184
32,180000,3,4.373687744140625
33,60000,1,1.495350003242493
33,120000,2,4.440762996673584
34,60000,1,-0.2568649053573608
34,120000,2,3.115841150283813
34,180000,3,4.424974918365479
35,60000,1,-0.1091189607977867
35,120000,2,0.9594854116439819
35,180000,3,2.907135009765625
35,240000,4,3.133986234664917
35,300000,5,3.730640172958374
35,360000,6,4.138947486877441
35,420000,7,4.531643867492676
36,60000,1,-0.1166737005114555
36,120000,2,2.919500112533569
36,180000,3,3.34825611114502
36,240000,4,3.825151443481445
36,300000,5,4.279296875
36,360000,6,4.509018898010254
37,60000,1,0.9161959290504456
37,120000,2,3.487137317657471
37,180000,3,4.70781946182251
38,60000,1,-0.1233631893992424
38,120000,2,0.9647886157035828
38,180000,3,0.867838442325592
38,240000,4,0.8743213415145874
38,300000,5,1.187549352645874
38,360000,6,1.520231604576111
38,420000,7,2.699892044067383
38,480000,8,2.88468599319458
38,540000,9,3.174242973327637
38,600000,10,3.638739824295044
38,660000,11,4.36184549331665
39,60000,1,0.4407809376716614
39,120000,2,3.527334213256836
39,180000,3,4.197132110595703
39,240000,4,4.354107856750488
40,60000,1,-0.3923333585262299
40,120000,2,1.919302701950073
40,180000,3,4.460082054138184
41,60000,1,-0.38472780585289
41,120000,2,1.402737021446228
41,180000,3,4.129038333892822
41,240000,4,4.799155235290527
42,60000,1,-0.6737471222877502
42,120000,2,0.3292860388755798
42,180000,3,2.981367349624634
42,240000,4,4.338108062744141
43,60000,1,0.1286499351263046
43,120000,2,-0.09128771722316742
43,180000,3,4.44191837310791
44,60000,1,-1.0
44,120000,2,-0.6716000437736511
44,180000,3,1.295195937156677
44,240000,4,1.482202172279358
44,300000,5,2.25780725479126
44,360000,6,2.801653861999512
44,420000,7,3.034902095794678
44,480000,8,3.311616659164429
44,540000,9,3.131304025650024
44,600000,10,3.7545485496521
44,660000,11,4.043319702148438
44,720000,12,3.833535194396973
44,780000,13,3.579222202301025
44,840000,14,4.114768981933594
44,900000,15,4.174263000488281
44,960000,16,4.169827938079834
44,1020000,17,4.069363117218018
44,1080000,18,4.075202941894531
44,1140000,19,4.407574653625488
45,60000,1,3.010321855545044
45,120000,2,3.708954811096191
45,180000,3,4.679097175598145
46,60000,1,-0.6783235669136047
46,120000,2,3.090397596359253
46,180000,3,3.994589328765869
46,240000,4,4.803987503051758
47,60000,1,-0.2570540606975555
47,120000,2,3.746222019195557
47,180000,3,4.745427131652832
48,60000,1,-0.2348000407218933
48,120000,2,0.3784233331680298
48,180000,3,-0.04980859905481339
48,240000,4,-0.1744806468486786
48,300000,5,0.5542463064193726
48,360000,6,0.5461314916610718
48,420000,7,1.473851799964905
48,480000,8,1.985396027565002
48,540000,9,3.162911176681519
48,600000,10,3.771295547485352
48,660000,11,3.928263664245605
48,720000,12,4.237565994262695
48,780000,13,4.554152011871338
49,60000,1,-0.4151777923107147
49,120000,2,0.3308894634246826
49,180000,3,0.04854488745331764
49,240000,4,-0.07389318943023682
49,300000,5,1.078992366790771
49,360000,6,2.490040063858032
49,420000,7,3.55057168006897
49,480000,8,3.626519203186035
49,540000,9,4.13585901260376
49,600000,10,3.988740921020508
49,660000,11,4.084398746490479
49,720000,12,4.253801345825195
49,780000,13,4.465828895568848
50,60000,1,0.7732650637626648
50,120000,2,2.942003965377808
50,180000,3,3.434614181518555
50,240000,4,4.235982894897461
50,300000,5,4.21446418762207
50,360000,6,4.353254795074463
51,60000,1,0.3120904564857483
51,120000,2,2.168758630752563
51,180000,3,3.537111520767212
51,240000,4,4.352416038513184
52,60000,1,2.924414873123169
52,120000,2,3.69196629524231
52,180000,3,4.491123199462891
53,60000,1,-0.008042129687964916
53,120000,2,-0.2752377092838287
53,180000,3,-0.8336548805236816
53,240000,4,-0.5825121998786926
53,300000,5,0.4805315732955933
53,360000,6,1.251446843147278
53,420000,7,0.4753402471542358
53,480000,8,2.785171985626221
53,540000,9,3.688405990600586
53,600000,10,4.055774211883545
53,660000,11,4.037721157073975
53,720000,12,3.885923385620117
53,780000,13,3.857140302658081
53,840000,14,4.053724765777588
53,900000,15,3.874012231826782
53,960000,16,4.157085418701172
53,1020000,17,4.196107387542725
53,1080000,18,3.88138222694397
53,1140000,19,4.112521171569824
53,1200000,20,3.912179231643677
53,1260000,21,4.198503017425537
53,1320000,22,4.331717014312744
54,60000,1,3.202117204666138
54,120000,2,4.400390625
55,60000,1,-0.8340364098548889
55,120000,2,-0.3779114484786987
55,180000,3,0.6907240152359009
55,240000,4,1.953953981399536
55,300000,5,2.539478778839111
55,360000,6,2.749454498291016
55,420000,7,2.192316293716431
55,480000,8,2.165012121200562
55,540000,9,3.350897789001465
55,600000,10,3.08014178276062
55,660000,11,3.938483238220215
55,720000,12,4.004363536834717
55,780000,13,4.165646076202393
55,840000,14,4.222344398498535
55,900000,15,3.872352600097656
55,960000,16,4.140230655670166
55,1020000,17,4.174351215362549
55,1080000,18,4.282400131225586
55,1140000,19,4.444805145263672
56,60000,1,-0.8412121534347534
56,120000,2,-0.9132431149482727
56,180000,3,2.061820983886719
56,240000,4,4.574326038360596
57,60000,1,2.616521120071411
57,120000,2,4.729161262512207
58,60000,1,0.307690441608429
58,120000,2,1.022325277328491
58,180000,3,0.5089771151542664
58,240000,4,0.7108354568481445
58,300000,5,0.9365717768669128
58,360000,6,2.094013214111328
58,420000,7,1.877894520759583
58,480000,8,4.075780391693115
58,540000,9,4.548059940338135
59,60000,1,-0.3587889075279236
59,120000,2,0.2622024714946747
59,180000,3,1.641696810722351
59,240000,4,0.6687214970588684
59,300000,5,1.141488432884216
59,360000,6,1.541736483573914
59,420000,7,3.366351127624512
59,480000,8,3.628313302993774
